#CellList
#Coordinate Time=591659.4468163316
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
0 80.2875 0.5750000000000028 8.791300850831007E-5 13.98003339963854 7.863217505116321E-8 1886.5407186373966 1.885629127434161E36 6.803827208422159E29 9.511773161723048E42 0 1
1 80.86250000000001 0.5750000000000028 8.975536533434975E-5 13.961784934218947 7.843750563657334E-8 1928.5936164450395 1.883167771515618E36 6.794743433109946E29 9.486674649431725E42 1 2
2 81.4375 0.5749999999999886 9.009650556264338E-5 13.95838440257402 7.840139802211323E-8 1936.3954012284926 1.8827091072664322E36 6.793061460311018E29 9.482016313135677E42 2 3
3 82.01249999999999 0.5750000000000028 9.174520297000977E-5 13.941987385226884 7.822728406713144E-8 1974.1490091935216 1.880497474958377E36 6.784924737661191E29 9.459533510013804E42 3 4
4 82.5875 0.5750000000000028 9.226129071739463E-5 13.93674881266271 7.817272613395313E-8 1986.0002700324649 1.8797908954576247E36 6.782416386647677E29 9.452483352152485E42 4 5
5 83.1625 0.5750000000000028 9.376771112775534E-5 13.921633151347507 7.801366213973155E-8 2020.618753408981 1.8777520926549587E36 6.775003941219052E29 9.431911946644571E42 5 6
6 83.73750000000001 0.5750000000000028 9.44159239813307E-5 13.915034631834313 7.794510461341186E-8 2035.5520217627193 1.8768620832933838E36 6.77184052048598E29 9.42303953616522E42 6 7
7 84.3125 0.5749999999999886 9.581666300847952E-5 13.90093170538248 7.779728427626921E-8 2067.8469034094182 1.8749598783301576E36 6.764936651323938E29 9.403892237905895E42 7 8
8 84.88749999999999 0.5750000000000028 9.65693954930942E-5 13.893286459437391 7.771789726836602E-8 2085.2386805015567 1.8739286863409252E36 6.761251671432351E29 9.393600629329029E42 8 9
9 85.4625 0.5750000000000028 9.789088758185326E-5 13.879944897062744 7.75785382300925E-8 2115.8056580771295 1.8721291742855156E36 6.754724648887361E29 9.375520591905633E42 9 10
10 86.0375 0.5750000000000028 9.872055440019695E-5 13.871491783147702 7.749091690534651E-8 2135.038282320669 1.8709890169359683E36 6.750640158773945E29 9.364144949104825E42 10 11
11 86.61250000000001 0.5750000000000028 9.998336516429486E-5 13.858699572095068 7.735776528244047E-8 2164.3451507966274 1.8692636014742345E36 6.744386693703051E29 9.346842898363366E42 11 12
12 87.1875 0.5749999999999886 1.0087688933457461E-4 13.849603691161702 7.726371830763695E-8 2185.1214762792597 1.868036747606984E36 6.73998420989665E29 9.334611018928008E42 12 13
13 87.76249999999999 0.5750000000000028 1.0209669085397935E-4 13.837224145926326 7.713532098788496E-8 2213.5224950130746 1.8663669925763015E36 6.733936526301261E29 9.317898909633469E42 13 14
14 88.3375 0.5750000000000028 1.030352937461298E-4 13.827627365948896 7.703634011501643E-8 2235.422387531078 1.8650725773662868E36 6.729286371350544E29 9.305006437921049E42 14 15
15 88.9125 0.5750000000000028 1.0422268544617463E-4 13.815519417557155 7.691117708167387E-8 2263.165382467048 1.863439455361056E36 6.723374039820382E29 9.288690459599508E42 15 16
16 89.48750000000001 0.5750000000000028 1.0520135743952252E-4 13.805514699358628 7.680829862796142E-8 2286.0724550212262 1.8620900173788613E36 6.718522609886285E29 9.275266264606541E42 16 17
17 90.0625 0.5749999999999886 1.0636723296802873E-4 13.79362836059263 7.668587492835196E-8 2313.399252346995 1.8604867861151758E36 6.712720779665251E29 9.259277572037709E42 17 18
18 90.63749999999999 0.5750000000000028 1.0737332850375071E-4 13.783304714963892 7.658002290160024E-8 2337.030114352178 1.8590943311504377E36 6.707712052363924E29 9.245443915516245E42 18 19
19 91.2125 0.5750000000000028 1.0852126747973481E-4 13.771521253520019 7.645903878092662E-8 2364.0365711308677 1.8575049759963063E36 6.70196219565673E29 9.229621481490875E42 19 20
20 91.7875 0.5750000000000028 1.095521768327616E-4 13.760918786068558 7.635066482590607E-8 2388.332726695642 1.85607491349974E36 6.69681600214474E29 9.215434112783776E42 20 21
21 92.36250000000001 0.5750000000000028 1.1069101633478074E-4 13.749252023431787 7.623133110817156E-8 2415.208076533085 1.8545012986992446E36 6.691124544138134E29 9.199795767454397E42 21 22
22 92.9375 0.5749999999999886 1.1174104715063656E-4 13.738448220246957 7.612126808462594E-8 2440.03640275902 1.8530440800069062E36 6.685879273277764E29 9.18536061997107E42 22 23
23 93.51249999999999 0.5750000000000028 1.1287081224622928E-4 13.72678926215808 7.600238086755213E-8 2466.7999670830973 1.851471517885053E36 6.68019262925606E29 9.169759644931969E42 23 24
24 94.0875 0.5750000000000028 1.1393455622270187E-4 13.715768210811389 7.58904304650609E-8 2492.049002607232 1.8499849967260618E36 6.674840905190176E29 9.155057069647227E42 24 25
25 94.6625 0.5750000000000028 1.1506069165095961E-4 13.70415177063484 7.577241223006141E-8 2518.8138377711716 1.8484181694269587E36 6.66917567918973E29 9.139539568942133E42 25 26
26 95.23750000000001 0.5750000000000028 1.1614061913517989E-4 13.693007901308466 7.565964897543361E-8 2544.5238626819355 1.846915082559296E36 6.663763450837096E29 9.124696558148076E42 26 27
27 95.8125 0.5749999999999886 1.1726538179556738E-4 13.681370924155713 7.554182728853041E-8 2571.351536808379 1.84534548522955E36 6.658088889140037E29 9.109178373497866E42 27 28
28 96.38749999999999 0.5750000000000028 1.1835160959694632E-4 13.670047191702947 7.542755827481958E-8 2597.319672030519 1.8438181383947695E36 6.652588729513311E29 9.094120187602981E42 28 29
29 96.9625 0.5750000000000028 1.1947239415610066E-4 13.658376626210222 7.530977001230165E-8 2624.156503648641 1.8422440106643638E36 6.646898246944565E29 9.078583964939218E42 29 30
30 97.5375 0.5750000000000028 1.2057190620378277E-4 13.646957951547613 7.519499813564096E-8 2650.522672698094 1.840703858009181E36 6.64135151332026E29 9.06342448401913E42 30 31
31 98.11250000000001 0.5750000000000028 1.2169880417457982E-4 13.635283435182687 7.507765828677874E-8 2677.585766759328 1.8391291973844685E36 6.635659622770204E29 9.047909973226535E42 31 32
32 98.6875 0.5749999999999886 1.2280389315046014E-4 13.62374364388181 7.49620408684609E-8 2704.188254287693 1.8375727084978247E36 6.630053805005476E29 9.032615338086821E42 32 33
33 99.26249999999999 0.5750000000000028 1.2392534185063473E-4 13.61197459281458 7.484406157292962E-8 2731.2423994327573 1.835985297017412E36 6.624315490062214E29 9.0170014141778E42 33 34
34 99.8375 0.5750000000000028 1.2503628795489013E-4 13.600307353135152 7.472754455127339E-8 2758.091049111072 1.8344116178731714E36 6.618647661309477E29 9.001564245211387E42 34 35
35 100.4125 0.5750000000000028 1.261655271511441E-4 13.588531703412386 7.461000980179679E-8 2785.4118868362025 1.832823316365011E36 6.612906301112115E29 8.985968692048428E42 35 36
36 100.98750000000001 0.5750000000000028 1.2728734197830894E-4 13.57682397309464 7.44935952803162E-8 2812.6019937949636 1.831244175836993E36 6.607218743018425E29 8.970504582175037E42 36 37
37 101.5625 0.5749999999999886 1.2841708158214008E-4 13.564970114148647 7.437566824013951E-8 2840.0448898685804 1.8296453254563392E36 6.601439808575548E29 8.954833370966577E42 37 38
38 102.13749999999999 0.5750000000000028 1.295373614897341E-4 13.553098307639475 7.425790462627167E-8 2867.3301957048798 1.8280440543055078E36 6.595671997469204E29 8.939179098256191E42 38 39
39 102.7125 0.5750000000000028 1.3066627829899232E-4 13.541156437597632 7.413949898000836E-8 2894.8696695825856 1.8264333329742236E36 6.589852531468334E29 8.9234224025157E42 39 40
