#x(1) v(2) rho0(3) u(4) p(5) diffrho0(6) diffp(7) diffv(8) diffu(9) 
-0.2998125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2994375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2990625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2986875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2983125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.29793749999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2975625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2971875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2968125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2964375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2960625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2956875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2953125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.29493749999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2945625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2941875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2938125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2934375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2930625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2926875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2923125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.29193749999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2915625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2911875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2908125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2904375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2900625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2896875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2893125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28893749999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2885625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2881875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28781249999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2874375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2870625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2866875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28631249999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28593749999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2855625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2851875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2848125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2844375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2840625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2836875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28331249999999997 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28293749999999995 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2825625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2821875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2818125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2814375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2810625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2806875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.28031249999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2799375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2795625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2791875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2788125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2784375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2780625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2776875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.27731249999999996 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2769375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2765625 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2761875 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2758125 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
-0.2754375 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
