#CellList
#Coordinate Time=0.0
#Id(1) x(2) Volume(3) S(4) D(5) E(6) 3-Vel(7) rho0(8) eps(9) p(10) left(12) right(13) 
0 -0.2998125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 0 1
1 -0.2994375 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 1 2
2 -0.2990625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 2 3
3 -0.2986875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 3 4
4 -0.2983125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 4 5
5 -0.29793749999999997 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 5 6
6 -0.2975625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 6 7
7 -0.2971875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 7 8
8 -0.2968125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 8 9
9 -0.2964375 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 9 10
10 -0.2960625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 10 11
11 -0.2956875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 11 12
12 -0.2953125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 12 13
13 -0.29493749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 13 14
14 -0.2945625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 14 15
15 -0.2941875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 15 16
16 -0.2938125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 16 17
17 -0.2934375 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 17 18
18 -0.2930625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 18 19
19 -0.2926875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 19 20
20 -0.2923125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 20 21
21 -0.29193749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 21 22
22 -0.2915625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 22 23
23 -0.2911875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 23 24
24 -0.2908125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 24 25
25 -0.2904375 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 25 26
26 -0.2900625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 26 27
27 -0.2896875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 27 28
28 -0.2893125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 28 29
29 -0.28893749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 29 30
30 -0.2885625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 30 31
31 -0.2881875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 31 32
32 -0.28781249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 32 33
33 -0.2874375 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 33 34
34 -0.2870625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 34 35
35 -0.2866875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 35 36
36 -0.28631249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 36 37
37 -0.28593749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 37 38
38 -0.2855625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 38 39
39 -0.2851875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 39 40
40 -0.2848125 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 40 41
41 -0.2844375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 41 42
42 -0.2840625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 42 43
43 -0.2836875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 43 44
44 -0.28331249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 44 45
45 -0.28293749999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 45 46
46 -0.2825625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 46 47
47 -0.2821875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 47 48
48 -0.2818125 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 48 49
49 -0.2814375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 49 50
50 -0.2810625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 50 51
51 -0.2806875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 51 52
52 -0.28031249999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 52 53
53 -0.2799375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 53 54
54 -0.2795625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 54 55
55 -0.2791875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 55 56
56 -0.2788125 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 56 57
57 -0.2784375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 57 58
58 -0.2780625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 58 59
59 -0.2776875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 59 60
60 -0.27731249999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 60 61
61 -0.2769375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 61 62
62 -0.2765625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 62 63
63 -0.2761875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 63 64
64 -0.2758125 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 64 65
65 -0.2754375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 65 66
66 -0.2750625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 66 67
67 -0.2746875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 67 68
68 -0.27431249999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 68 69
69 -0.2739375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 69 70
70 -0.2735625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 70 71
71 -0.27318749999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 71 72
72 -0.2728125 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 72 73
73 -0.2724375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 73 74
74 -0.2720625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 74 75
75 -0.27168749999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 75 76
76 -0.27131249999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 76 77
77 -0.2709375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 77 78
78 -0.2705625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 78 79
79 -0.2701875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 79 80
80 -0.2698125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 80 81
81 -0.2694375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 81 82
82 -0.2690625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 82 83
83 -0.26868749999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 83 84
84 -0.26831249999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 84 85
85 -0.2679375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 85 86
86 -0.2675625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 86 87
87 -0.2671875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 87 88
88 -0.2668125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 88 89
89 -0.2664375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 89 90
90 -0.2660625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 90 91
91 -0.26568749999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 91 92
92 -0.26531249999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 92 93
93 -0.2649375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 93 94
94 -0.2645625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 94 95
95 -0.2641875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 95 96
96 -0.2638125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 96 97
97 -0.2634375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 97 98
98 -0.2630625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 98 99
99 -0.26268749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 99 100
100 -0.2623125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 100 101
101 -0.2619375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 101 102
102 -0.2615625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 102 103
103 -0.2611875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 103 104
104 -0.2608125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 104 105
105 -0.2604375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 105 106
106 -0.2600625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 106 107
107 -0.25968749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 107 108
108 -0.2593125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 108 109
109 -0.2589375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 109 110
110 -0.2585625 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 110 111
111 -0.2581875 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 111 112
112 -0.2578125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 112 113
113 -0.2574375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 113 114
114 -0.25706249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 114 115
115 -0.25668749999999996 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 115 116
116 -0.2563125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 116 117
117 -0.2559375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 117 118
118 -0.2555625 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 118 119
119 -0.2551875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 119 120
120 -0.2548125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 120 121
121 -0.2544375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 121 122
122 -0.25406249999999997 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 122 123
123 -0.25368749999999995 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 123 124
124 -0.2533125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 124 125
125 -0.2529375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 125 126
126 -0.2525625 3.749999999999587E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 126 127
127 -0.2521875 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 127 128
128 -0.2518125 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 128 129
129 -0.2514375 3.750000000000142E-4 0.0 1.0 1.0 0.0 1.0 1.0 1.0 129 130
